name	link	position	shoots	years_active
Max McCormick	https://www.hockey-reference.com/players/m/mccorma01.html	LW	Left	2016-2024
Connor McDavid	https://www.hockey-reference.com/players/m/mcdavco01.html	C	Left	2016-2024
Ryan McDonagh	https://www.hockey-reference.com/players/m/mcdonry01.html	D	Left	2011-2024
Hugh McGing	https://www.hockey-reference.com/players/m/mcginhu01.html	LW	Left	2023-2024
Brock McGinn	https://www.hockey-reference.com/players/m/mcginbr01.html	LW	Left	2016-2024
Dylan McIlrath	https://www.hockey-reference.com/players/m/mcilrdy01.html	D	Right	2014-2024
Marc McLaughlin	https://www.hockey-reference.com/players/m/mclauma01.html	F	Right	2022-2024
Michael McLeod	https://www.hockey-reference.com/players/m/mcleomi01.html	C	Right	2019-2024
Ryan McLeod	https://www.hockey-reference.com/players/m/mcleory01.html	C	Left	2021-2024
Bobby McMann	https://www.hockey-reference.com/players/m/mcmanbo02.html	F	Left	2023-2024
Connor McMichael	https://www.hockey-reference.com/players/m/mcmicco01.html	C	Left	2021-2024
Brayden McNabb	https://www.hockey-reference.com/players/m/mcnabbr01.html	D	Left	2012-2024
Mason McTavish	https://www.hockey-reference.com/players/m/mctavma01.html	C	Left	2022-2024
Cole McWard	https://www.hockey-reference.com/players/m/mcwarco01.html	D	Right	2023-2024
Jaycob Megna	https://www.hockey-reference.com/players/m/megnaja02.html	D	Left	2017-2024
Jayson Megna	https://www.hockey-reference.com/players/m/megnaja01.html	C	Right	2014-2024
Timo Meier	https://www.hockey-reference.com/players/m/meierti01.html	RW	Left	2017-2024
Dawson Mercer	https://www.hockey-reference.com/players/m/merceda01.html	C	Right	2022-2024
Waltteri Merela	https://www.hockey-reference.com/players/m/merelwa01.html	F	Right	2024
Georgii Merkulov	https://www.hockey-reference.com/players/m/merkuge01.html	F	Left	2024
Dakota Mermis	https://www.hockey-reference.com/players/m/mermida01.html	D	Left	2018-2024
Jonathon Merrill	https://www.hockey-reference.com/players/m/merrijo01.html	D	Left	2014-2024
Elvis MerzÄ¼ikins	https://www.hockey-reference.com/players/m/merzlel01.html	G	Not Found	2020-2024
Victor Mete	https://www.hockey-reference.com/players/m/metevi01.html	D	Left	2018-2024
Carson Meyer	https://www.hockey-reference.com/players/m/meyerca01.html	RW	Right	2022-2024
Ben Meyers	https://www.hockey-reference.com/players/m/meyerbe01.html	F	Left	2022-2024
Jacob Middleton	https://www.hockey-reference.com/players/m/middlja01.html	D	Left	2019-2024
Ilya Mikheyev	https://www.hockey-reference.com/players/m/mikheil01.html	F	Left	2020-2024
Niko Mikkola	https://www.hockey-reference.com/players/m/mikkoni01.html	D	Left	2020-2024
Sonny Milano	https://www.hockey-reference.com/players/m/milanso01.html	LW	Left	2016-2024
Colin Miller	https://www.hockey-reference.com/players/m/milleco02.html	D	Right	2016-2024
J.T. Miller	https://www.hockey-reference.com/players/m/millejt01.html	C	Left	2013-2024
K'Andre Miller	https://www.hockey-reference.com/players/m/milleka01.html	D	Left	2021-2024
Fraser Minten	https://www.hockey-reference.com/players/m/mintefr01.html	C	Left	2024
Pavel Mintyukov	https://www.hockey-reference.com/players/m/mintypa01.html	D	Left	2024
Daniil Miromanov	https://www.hockey-reference.com/players/m/miromda01.html	D	Right	2022-2024
Ivan Miroshnichenko	https://www.hockey-reference.com/players/m/mirosiv01.html	LW	Right	2024
Ian Mitchell	https://www.hockey-reference.com/players/m/mitchia01.html	D	Right	2021-2024
Casey Mittelstadt	https://www.hockey-reference.com/players/m/mitteca01.html	C	Left	2018-2024
Sean Monahan	https://www.hockey-reference.com/players/m/monahse01.html	C	Left	2014-2024
Sam Montembeault	https://www.hockey-reference.com/players/m/montesa01.html	G	Not Found	2019-2024
Brandon Montour	https://www.hockey-reference.com/players/m/montobr01.html	D	Right	2017-2024
Trevor Moore	https://www.hockey-reference.com/players/m/mooretr01.html	LW	Left	2019-2024
Mason Morelli	https://www.hockey-reference.com/players/m/morelma01.html	F	Left	2024
Logan Morrison	https://www.hockey-reference.com/players/m/morrilo01.html	F	Right	2024
Josh Morrissey	https://www.hockey-reference.com/players/m/morrijo04.html	D	Left	2016-2024
Scott Morrow	https://www.hockey-reference.com/players/m/morrosc02.html	D	Right	2024
J.J. Moser	https://www.hockey-reference.com/players/m/moserja01.html	D	Left	2022-2024
Tyler Motte	https://www.hockey-reference.com/players/m/mottety01.html	C	Left	2017-2024
Jacob Moverare	https://www.hockey-reference.com/players/m/moverja01.html	D	Left	2022-2024
Petr MrÃ¡zek	https://www.hockey-reference.com/players/m/mrazepe01.html	G	Not Found	2013-2024
Shakir Mukhamadullin	https://www.hockey-reference.com/players/m/mukhash01.html	D	Left	2024
Connor Murphy	https://www.hockey-reference.com/players/m/murphco02.html	D	Right	2014-2024
Brett Murray	https://www.hockey-reference.com/players/m/murrabr02.html	LW	Left	2021-2024
Matt Murray	https://www.hockey-reference.com/players/m/murrama03.html	G	Not Found	2023-2024
Philippe Myers	https://www.hockey-reference.com/players/m/myersph01.html	D	Right	2019-2024
Tyler Myers	https://www.hockey-reference.com/players/m/myersty01.html	D	Right	2010-2024
Bradly Nadeau	https://www.hockey-reference.com/players/n/nadeabr01.html	LW	Right	2024
Vladislav Namestnikov	https://www.hockey-reference.com/players/n/namesvl01.html	C	Left	2014-2024
Riley Nash	https://www.hockey-reference.com/players/n/nashri02.html	C	Right	2012-2024
Frank Nazar	https://www.hockey-reference.com/players/n/nazarfr01.html	C	Right	2024
Martin NeÄas	https://www.hockey-reference.com/players/n/necasma01.html	C	Right	2018-2024
Alex Nedeljkovic	https://www.hockey-reference.com/players/n/nedelal01.html	G	Not Found	2017-2024
Jake Neighbours	https://www.hockey-reference.com/players/n/neighja01.html	LW	Left	2022-2024
Brock Nelson	https://www.hockey-reference.com/players/n/nelsobr01.html	C	Left	2014-2024
Simon Nemec	https://www.hockey-reference.com/players/n/nemecsi01.html	D	Right	2024
Nikita Nesterenko	https://www.hockey-reference.com/players/n/nesteni02.html	C	Left	2023-2024
Alex Newhook	https://www.hockey-reference.com/players/n/newhoal01.html	C	Left	2021-2024
Valeri Nichushkin	https://www.hockey-reference.com/players/n/nichuva01.html	RW	Left	2014-2024
Nino Niederreiter	https://www.hockey-reference.com/players/n/niedeni01.html	RW	Left	2011-2024
Matthew Nieto	https://www.hockey-reference.com/players/n/nietoma01.html	LW	Left	2014-2024
Stefan Noesen	https://www.hockey-reference.com/players/n/noesest01.html	RW	Right	2015-2024
Joshua Norris	https://www.hockey-reference.com/players/n/norrijo01.html	C	Left	2020-2024
TomÃ¡Å¡ Nosek	https://www.hockey-reference.com/players/n/nosekto01.html	C	Left	2016-2024
Thomas Novak	https://www.hockey-reference.com/players/n/novakth01.html	C	Left	2022-2024
Ryan Nugent-Hopkins	https://www.hockey-reference.com/players/n/nugenry01.html	C	Left	2012-2024
Darnell Nurse	https://www.hockey-reference.com/players/n/nurseda01.html	D	Left	2015-2024
Alexander Nylander	https://www.hockey-reference.com/players/n/nylanal01.html	LW	Right	2017-2024
William Nylander	https://www.hockey-reference.com/players/n/nylanwi01.html	C	Right	2016-2024
Gustav Nyquist	https://www.hockey-reference.com/players/n/nyquigu01.html	RW	Left	2012-2024
Liam O'Brien	https://www.hockey-reference.com/players/o/obrieli01.html	C	Left	2015-2024
Drew O'Connor	https://www.hockey-reference.com/players/o/oconndr01.html	F	Left	2021-2024
Logan O'Connor	https://www.hockey-reference.com/players/o/oconnlo01.html	RW	Right	2019-2024
Ryan O'Reilly	https://www.hockey-reference.com/players/o/oreilry01.html	C	Left	2010-2024
Jordan Oesterle	https://www.hockey-reference.com/players/o/oestejo01.html	D	Left	2015-2024
Jake Oettinger	https://www.hockey-reference.com/players/o/oettija01.html	G	Not Found	2021-2024
Liam Ohgren	https://www.hockey-reference.com/players/o/ohgreli01.html	LW	Left	2024
Nikita Okhotyuk	https://www.hockey-reference.com/players/o/okhotni01.html	D	Left	2022-2024
Kyle Okposo	https://www.hockey-reference.com/players/o/okposky01.html	RW	Right	2008-2024
Oskar Olausson	https://www.hockey-reference.com/players/o/olausos01.html	RW	Left	2023-2024
Jamie Oleksiak	https://www.hockey-reference.com/players/o/oleksja01.html	D	Left	2013-2024
Mathieu Olivier	https://www.hockey-reference.com/players/o/olivima01.html	F	Right	2020-2024
Fredrik Olofsson	https://www.hockey-reference.com/players/o/olofsfr01.html	LW	Left	2023-2024
Gustav Olofsson	https://www.hockey-reference.com/players/o/olofsgu01.html	D	Left	2016-2024
Victor Olofsson	https://www.hockey-reference.com/players/o/olofsvi01.html	RW	Left	2019-2024
Dmitry Orlov	https://www.hockey-reference.com/players/o/orlovdm01.html	D	Left	2012-2024
T.J. Oshie	https://www.hockey-reference.com/players/o/oshietj01.html	C	Right	2009-2024
Zack Ostapchuk	https://www.hockey-reference.com/players/o/ostapza01.html	C	Left	2024
Brennan Othmann	https://www.hockey-reference.com/players/o/othmabr01.html	LW	Left	2024
Alex Ovechkin	https://www.hockey-reference.com/players/o/ovechal01.html	LW	Right	2006-2024
Brayden Pachal	https://www.hockey-reference.com/players/p/pachabr01.html	D	Right	2022-2024
Max Pacioretty	https://www.hockey-reference.com/players/p/pacioma01.html	LW	Left	2009-2024
Jean-Gabriel Pageau	https://www.hockey-reference.com/players/p/pageaje01.html	C	Right	2013-2024
OndÅej PalÃ¡t	https://www.hockey-reference.com/players/p/palaton01.html	LW	Left	2013-2024
Kyle Palmieri	https://www.hockey-reference.com/players/p/palmiky01.html	RW	Right	2011-2024
Artemi Panarin	https://www.hockey-reference.com/players/p/panarar01.html	LW	Right	2016-2024
Colton Parayko	https://www.hockey-reference.com/players/p/parayco01.html	D	Right	2016-2024
Zach Parise	https://www.hockey-reference.com/players/p/parisza01.html	LW	Left	2006-2024
Juuso PÃ¤rssinen	https://www.hockey-reference.com/players/p/parssju01.html	C	Left	2023-2024
David PastrÅÃ¡k	https://www.hockey-reference.com/players/p/pastrda01.html	RW	Right	2015-2024
JiÅÃ­ Patera	https://www.hockey-reference.com/players/p/paterji01.html	G	Not Found	2023-2024
Nick Paul	https://www.hockey-reference.com/players/p/paulni01.html	LW	Left	2016-2024
Ondrej Pavel	https://www.hockey-reference.com/players/p/pavelon02.html	F	Left	2024
Joe Pavelski	https://www.hockey-reference.com/players/p/paveljo01.html	C	Right	2007-2024
Tanner Pearson	https://www.hockey-reference.com/players/p/pearsta01.html	LW	Left	2014-2024
Andrew Peeke	https://www.hockey-reference.com/players/p/peekean01.html	D	Right	2020-2024
Adam Pelech	https://www.hockey-reference.com/players/p/pelecad01.html	D	Left	2016-2024
Jakob Pelletier	https://www.hockey-reference.com/players/p/pelleja01.html	LW	Left	2023-2024
Nicklaus Perbix	https://www.hockey-reference.com/players/p/perbini01.html	D	Right	2023-2024
Yaniv Perets	https://www.hockey-reference.com/players/p/peretya01.html	G	Not Found	2024
Cole Perfetti	https://www.hockey-reference.com/players/p/perfeco01.html	C	Left	2022-2024
David Perron	https://www.hockey-reference.com/players/p/perroda01.html	LW	Right	2008-2024
Corey Perry	https://www.hockey-reference.com/players/p/perryco01.html	RW	Right	2006-2024
Scott Perunovich	https://www.hockey-reference.com/players/p/perunsc01.html	D	Left	2022-2024
Brett Pesce	https://www.hockey-reference.com/players/p/pescebr01.html	D	Right	2016-2024
Nic Petan	https://www.hockey-reference.com/players/p/petanni01.html	C	Left	2016-2024
John-Jason Peterka	https://www.hockey-reference.com/players/p/peterjo01.html	RW	Left	2022-2024
Calvin Petersen	https://www.hockey-reference.com/players/p/peterca01.html	G	Not Found	2019-2024
Jacob Peterson	https://www.hockey-reference.com/players/p/peterja01.html	C	Left	2022-2024
Alexander Petrovic	https://www.hockey-reference.com/players/p/petroal01.html	D	Right	2013-2024
Jeff Petry	https://www.hockey-reference.com/players/p/petryje01.html	D	Right	2011-2024
Elias Pettersson	https://www.hockey-reference.com/players/p/petteel01.html	C	Left	2019-2024
Marcus Pettersson	https://www.hockey-reference.com/players/p/pettema01.html	D	Left	2018-2024
Michael Pezzetta	https://www.hockey-reference.com/players/p/pezzemi01.html	C	Left	2022-2024
Isaak Phillips	https://www.hockey-reference.com/players/p/phillis01.html	D	Left	2022-2024
Matthew Phillips	https://www.hockey-reference.com/players/p/phillma01.html	F	Right	2021-2024
Calvin Pickard	https://www.hockey-reference.com/players/p/pickaca01.html	G	Not Found	2015-2024
Alex Pietrangelo	https://www.hockey-reference.com/players/p/pietral01.html	D	Right	2009-2024
Shane Pinto	https://www.hockey-reference.com/players/p/pintosh01.html	C	Right	2021-2024
Neal Pionk	https://www.hockey-reference.com/players/p/pionkne01.html	D	Right	2018-2024
Rem Pitlick	https://www.hockey-reference.com/players/p/pitlire01.html	C	Left	2019-2024
Tyler Pitlick	https://www.hockey-reference.com/players/p/pitlity01.html	C	Right	2014-2024
Vasily Podkolzin	https://www.hockey-reference.com/players/p/podkova01.html	RW	Left	2022-2024
Ryan Poehling	https://www.hockey-reference.com/players/p/poehlry01.html	C	Left	2019-2024
Brayden Point	https://www.hockey-reference.com/players/p/pointbr01.html	C	Right	2017-2024
Matthew Poitras	https://www.hockey-reference.com/players/p/poitrma01.html	C	Right	2024
Jason Polin	https://www.hockey-reference.com/players/p/polinja01.html	F	Right	2024
Vasiliy Ponomarev	https://www.hockey-reference.com/players/p/ponomva01.html	C	Left	2024
Martin Pospisil	https://www.hockey-reference.com/players/p/pospima01.html	C	Left	2024
Andrew Poturalski	https://www.hockey-reference.com/players/p/poturan01.html	C	Right	2017-2024
Samuel Poulin	https://www.hockey-reference.com/players/p/poulisa01.html	RW	Left	2023-2024
Derrick Pouliot	https://www.hockey-reference.com/players/p/poulide01.html	D	Left	2015-2024
Owen Power	https://www.hockey-reference.com/players/p/powerow01.html	D	Left	2022-2024
Cayden Primeau	https://www.hockey-reference.com/players/p/primeca01.html	G	Not Found	2020-2024
Ivan Prosvetov	https://www.hockey-reference.com/players/p/prosviv01.html	G	Not Found	2021-2024
Aliaksei Protas	https://www.hockey-reference.com/players/p/protaal01.html	C	Left	2022-2024
Ivan Provorov	https://www.hockey-reference.com/players/p/provoiv01.html	D	Left	2017-2024
Jesse PuljujÃ¤rvi	https://www.hockey-reference.com/players/p/puljuje01.html	RW	Right	2017-2024
Ryan Pulock	https://www.hockey-reference.com/players/p/pulocry01.html	D	Right	2016-2024
Valtteri Puustinen	https://www.hockey-reference.com/players/p/puustva01.html	RW	Right	2022-2024
Mikael Pyyhtia	https://www.hockey-reference.com/players/p/pyyhtmi01.html	LW	Left	2023-2024
Jonathan Quick	https://www.hockey-reference.com/players/q/quickjo01.html	G	Not Found	2008-2024
Jack Quinn	https://www.hockey-reference.com/players/q/quinnja01.html	RW	Right	2022-2024
Antti Raanta	https://www.hockey-reference.com/players/r/raantan01.html	G	Not Found	2014-2024
Darren Raddysh	https://www.hockey-reference.com/players/r/raddyda01.html	D	Right	2022-2024
Taylor Raddysh	https://www.hockey-reference.com/players/r/raddyta01.html	RW	Right	2022-2024
Rickard Rakell	https://www.hockey-reference.com/players/r/rakelri01.html	RW	Right	2013-2024
Mikko Rantanen	https://www.hockey-reference.com/players/r/rantami01.html	RW	Left	2016-2024
Adam RaÅ¡ka	https://www.hockey-reference.com/players/r/raskaad01.html	RW	Right	2022-2024
Michael Rasmussen	https://www.hockey-reference.com/players/r/rasmumi01.html	C	Left	2019-2024
Aku Raty	https://www.hockey-reference.com/players/r/ratyak01.html	RW	Right	2024
Lucas Raymond	https://www.hockey-reference.com/players/r/raymolu01.html	LW	Right	2022-2024
Ryan Reaves	https://www.hockey-reference.com/players/r/reavery01.html	RW	Right	2011-2024
Pavol Regenda	https://www.hockey-reference.com/players/r/regenpa01.html	F	Left	2023-2024
Lukas Reichel	https://www.hockey-reference.com/players/r/reichlu01.html	LW	Left	2022-2024
Mike Reilly	https://www.hockey-reference.com/players/r/reillmi01.html	D	Left	2016-2024
James Reimer	https://www.hockey-reference.com/players/r/reimeja01.html	G	Not Found	2011-2024
Sam Reinhart	https://www.hockey-reference.com/players/r/reinhsa01.html	C	Right	2015-2024
Sheldon Rempal	https://www.hockey-reference.com/players/r/rempash01.html	RW	Right	2019-2024
Matt Rempe	https://www.hockey-reference.com/players/r/rempema01.html	C	Right	2024
Anthony Richard	https://www.hockey-reference.com/players/r/richaan01.html	C	Left	2019-2024
Morgan Rielly	https://www.hockey-reference.com/players/r/riellmo01.html	D	Left	2014-2024
Marshall Rifai	https://www.hockey-reference.com/players/r/rifaima01.html	D	Left	2024
Rasmus Ristolainen	https://www.hockey-reference.com/players/r/ristora01.html	D	Right	2014-2024
David Rittich	https://www.hockey-reference.com/players/r/rittida01.html	G	Not Found	2017-2024
Jason Robertson	https://www.hockey-reference.com/players/r/roberja01.html	LW	Left	2020-2024
Nicholas Robertson	https://www.hockey-reference.com/players/r/roberni01.html	LW	Left	2021-2024
Eric Robinson	https://www.hockey-reference.com/players/r/robiner01.html	LW	Left	2018-2024
Evan Rodrigues	https://www.hockey-reference.com/players/r/rodriev01.html	C	Right	2016-2024
Alexander Romanov	https://www.hockey-reference.com/players/r/romanal01.html	D	Left	2021-2024
Georgi Romanov	https://www.hockey-reference.com/players/r/romange01.html	G	Not Found	2024
Kevin Rooney	https://www.hockey-reference.com/players/r/rooneke01.html	C	Left	2017-2024
Filip Roos	https://www.hockey-reference.com/players/r/roosfi01.html	D	Left	2023-2024
Calle RosÃ©n	https://www.hockey-reference.com/players/r/rosenca01.html	D	Left	2018-2024
Isak Rosen	https://www.hockey-reference.com/players/r/rosenis01.html	RW	Left	2024
Jack Roslovic	https://www.hockey-reference.com/players/r/rosloja01.html	C	Right	2017-2024
Marco Rossi	https://www.hockey-reference.com/players/r/rossima01.html	C	Left	2022-2024
LukÃ¡Å¡ Rousek	https://www.hockey-reference.com/players/r/rouselu01.html	RW	Left	2023-2024
Joshua Roy	https://www.hockey-reference.com/players/r/royjo01.html	RW	Left	2024
Matt Roy	https://www.hockey-reference.com/players/r/royma04.html	D	Right	2019-2024
Nicolas Roy	https://www.hockey-reference.com/players/r/royni01.html	C	Right	2018-2024
Chad Ruhwedel	https://www.hockey-reference.com/players/r/ruhwech01.html	D	Right	2013-2024
Bryan Rust	https://www.hockey-reference.com/players/r/rustbr01.html	RW	Right	2015-2024
Jan Rutta	https://www.hockey-reference.com/players/r/ruttaja02.html	D	Right	2018-2024
Adam RuÅ¾iÄka	https://www.hockey-reference.com/players/r/ruzicad01.html	C	Left	2021-2024
Derek Ryan	https://www.hockey-reference.com/players/r/ryande01.html	C	Right	2016-2024
Jonas RÃ¸ndbjerg	https://www.hockey-reference.com/players/r/rondbjo01.html	RW	Left	2022-2024
Brandon Saad	https://www.hockey-reference.com/players/s/saadbr01.html	LW	Left	2012-2024
Scott Sabourin	https://www.hockey-reference.com/players/s/sabousc01.html	F	Right	2020-2024
Dylan Samberg	https://www.hockey-reference.com/players/s/sambedy01.html	D	Left	2022-2024
Mackie Samoskevich	https://www.hockey-reference.com/players/s/samosma01.html	RW	Right	2024
Ilya Samsonov	https://www.hockey-reference.com/players/s/samsoil01.html	G	Not Found	2020-2024
Mattias Samuelsson	https://www.hockey-reference.com/players/s/samuema02.html	D	Left	2021-2024
Jake Sanderson	https://www.hockey-reference.com/players/s/sandeja01.html	D	Left	2023-2024
Rasmus Sandin	https://www.hockey-reference.com/players/s/sandira01.html	D	Left	2020-2024
Felix SandstrÃ¶m	https://www.hockey-reference.com/players/s/sandsfe01.html	G	Not Found	2022-2024
Zach Sanford	https://www.hockey-reference.com/players/s/sanfoza01.html	LW	Left	2017-2024
Travis Sanheim	https://www.hockey-reference.com/players/s/sanhetr01.html	D	Left	2018-2024
Juuse Saros	https://www.hockey-reference.com/players/s/sarosju01.html	G	Not Found	2016-2024
David Savard	https://www.hockey-reference.com/players/s/savarda01.html	D	Right	2012-2024
Matthew Savoie	https://www.hockey-reference.com/players/s/savoima01.html	C	Right	2024
Marco Scandella	https://www.hockey-reference.com/players/s/scandma01.html	D	Left	2011-2024
Brandon Scanlin	https://www.hockey-reference.com/players/s/scanlbr01.html	D	Left	2024
Mark Scheifele	https://www.hockey-reference.com/players/s/scheima01.html	C	Right	2012-2024
Brayden Schenn	https://www.hockey-reference.com/players/s/schenbr01.html	C	Left	2010-2024
Luke Schenn	https://www.hockey-reference.com/players/s/schenlu01.html	D	Right	2009-2024
Nick Schmaltz	https://www.hockey-reference.com/players/s/schmani01.html	C	Right	2017-2024
Akira Schmid	https://www.hockey-reference.com/players/s/schmiak01.html	G	Not Found	2022-2024
Nate Schmidt	https://www.hockey-reference.com/players/s/schmina01.html	D	Left	2014-2024
Braden Schneider	https://www.hockey-reference.com/players/s/schnebr01.html	D	Right	2022-2024
Justin Schultz	https://www.hockey-reference.com/players/s/schulju01.html	D	Right	2013-2024
Jaden Schwartz	https://www.hockey-reference.com/players/s/schwaja01.html	C	Left	2012-2024
Cole Schwindt	https://www.hockey-reference.com/players/s/schwico01.html	RW	Right	2022-2024
Nick Seeler	https://www.hockey-reference.com/players/s/seeleni01.html	D	Left	2018-2024
Tyler Seguin	https://www.hockey-reference.com/players/s/seguity01.html	C	Right	2011-2024
Moritz Seider	https://www.hockey-reference.com/players/s/seidemo01.html	D	Right	2022-2024
Brett Seney	https://www.hockey-reference.com/players/s/seneybr01.html	LW	Left	2019-2024
Mikhail Sergachev	https://www.hockey-reference.com/players/s/sergami01.html	D	Left	2017-2024
Damon Severson	https://www.hockey-reference.com/players/s/severda01.html	D	Right	2015-2024
Michael Sgarbossa	https://www.hockey-reference.com/players/s/sgarbmi01.html	C	Left	2013-2024
Yegor Sharangovich	https://www.hockey-reference.com/players/s/sharaye01.html	C	Left	2021-2024
Kevin Shattenkirk	https://www.hockey-reference.com/players/s/shattke01.html	D	Right	2011-2024
Mason Shaw	https://www.hockey-reference.com/players/s/shawma01.html	C	Left	2022-2024
Ryan Shea	https://www.hockey-reference.com/players/s/sheary01.html	D	Left	2024
Conor Sheary	https://www.hockey-reference.com/players/s/shearco01.html	LW	Left	2016-2024
Hunter Shepard	https://www.hockey-reference.com/players/s/shepahu01.html	G	Not Found	2024
Kiefer Sherwood	https://www.hockey-reference.com/players/s/sherwki01.html	RW	Right	2019-2024
Igor Shesterkin	https://www.hockey-reference.com/players/s/shestig01.html	G	Not Found	2020-2024
Devin Shore	https://www.hockey-reference.com/players/s/shorede01.html	C	Left	2016-2024
Jonas Siegenthaler	https://www.hockey-reference.com/players/s/siegejo01.html	D	Left	2019-2024
Jakob Silfverberg	https://www.hockey-reference.com/players/s/silfvja01.html	LW	Right	2013-2024
Cole Sillinger	https://www.hockey-reference.com/players/s/sillico01.html	C	Left	2022-2024
Arturs Silovs	https://www.hockey-reference.com/players/s/silovar01.html	G	Not Found	2023-2024
Colton Sissons	https://www.hockey-reference.com/players/s/sissoco01.html	C	Right	2014-2024
Jeff Skinner	https://www.hockey-reference.com/players/s/skinnje01.html	LW	Left	2011-2024
Stuart Skinner	https://www.hockey-reference.com/players/s/skinnst01.html	G	Not Found	2021-2024
Brady Skjei	https://www.hockey-reference.com/players/s/skjeibr01.html	D	Left	2016-2024
Juraj Slafkovsky	https://www.hockey-reference.com/players/s/slafkju01.html	LW	Left	2023-2024
Landon Slaggert	https://www.hockey-reference.com/players/s/slaggla01.html	LW	Left	2024
Jaccob Slavin	https://www.hockey-reference.com/players/s/slavija01.html	D	Left	2016-2024
Jiri Smejkal	https://www.hockey-reference.com/players/s/smejkji01.html	F	Left	2024
Brendan Smith	https://www.hockey-reference.com/players/s/smithbr05.html	D	Left	2012-2024
Cole Smith	https://www.hockey-reference.com/players/s/smithco02.html	F	Left	2021-2024
Craig Smith	https://www.hockey-reference.com/players/s/smithcr01.html	C	Right	2012-2024
Givani Smith	https://www.hockey-reference.com/players/s/smithgi01.html	RW	Left	2020-2024
Reilly Smith	https://www.hockey-reference.com/players/s/smithre01.html	RW	Left	2012-2024
Joe Snively	https://www.hockey-reference.com/players/s/snivejo01.html	F	Left	2022-2024
Arvid SÃ¶derblom	https://www.hockey-reference.com/players/s/soderar01.html	G	Not Found	2022-2024
Victor SÃ¶derstrÃ¶m	https://www.hockey-reference.com/players/s/sodervi01.html	D	Right	2021-2024
Ilya Solovyov	https://www.hockey-reference.com/players/s/solovil01.html	D	Left	2024
Ilya Sorokin	https://www.hockey-reference.com/players/s/sorokil01.html	G	Not Found	2021-2024
Carson Soucy	https://www.hockey-reference.com/players/s/soucyca01.html	D	Left	2018-2024
Justin Sourdif	https://www.hockey-reference.com/players/s/sourdju01.html	RW	Right	2024
Jordan Spence	https://www.hockey-reference.com/players/s/spencjo01.html	D	Right	2022-2024
Daniel Sprong	https://www.hockey-reference.com/players/s/spronda01.html	RW	Right	2016-2024
Jared Spurgeon	https://www.hockey-reference.com/players/s/spurgja01.html	D	Right	2011-2024
John St. Ivany	https://www.hockey-reference.com/players/s/stivajo01.html	D	Right	2024
Jordan Staal	https://www.hockey-reference.com/players/s/staaljo01.html	C	Left	2007-2024
Marc Staal	https://www.hockey-reference.com/players/s/staalma01.html	D	Left	2008-2024
Steven Stamkos	https://www.hockey-reference.com/players/s/stamkst01.html	C	Right	2009-2024
Logan Stankoven	https://www.hockey-reference.com/players/s/stanklo01.html	C	Right	2024
Logan Stanley	https://www.hockey-reference.com/players/s/stanllo01.html	D	Left	2021-2024
Spencer Stastney	https://www.hockey-reference.com/players/s/stastsp01.html	D	Left	2023-2024
Troy Stecher	https://www.hockey-reference.com/players/s/stechtr01.html	D	Right	2017-2024
Sam Steel	https://www.hockey-reference.com/players/s/steelsa01.html	C	Left	2019-2024
Oskar Steen	https://www.hockey-reference.com/players/s/steenos01.html	C	Right	2021-2024
Alex Steeves	https://www.hockey-reference.com/players/s/steeval02.html	F	Left	2022-2024
Kevin Stenlund	https://www.hockey-reference.com/players/s/stenlke01.html	C	Right	2019-2024
Mitchell Stephens	https://www.hockey-reference.com/players/s/stephmi01.html	C	Right	2020-2024
Chandler Stephenson	https://www.hockey-reference.com/players/s/stephch02.html	C	Left	2016-2024
Anthony Stolarz	https://www.hockey-reference.com/players/s/stolaan01.html	G	Not Found	2017-2024
Mark Stone	https://www.hockey-reference.com/players/s/stonema01.html	RW	Right	2013-2024
Dylan Strome	https://www.hockey-reference.com/players/s/stromdy01.html	C	Left	2017-2024
Ryan Strome	https://www.hockey-reference.com/players/s/stromry01.html	C	Right	2014-2024
Jayden Struble	https://www.hockey-reference.com/players/s/strubja01.html	D	Left	2024
MariÃ¡n StudeniÄ	https://www.hockey-reference.com/players/s/studema01.html	RW	Left	2021-2024
Jack Studnicka	https://www.hockey-reference.com/players/s/studnja01.html	C	Right	2020-2024
Nico Sturm	https://www.hockey-reference.com/players/s/sturmni01.html	C	Left	2019-2024
Tim StÃ¼tzle	https://www.hockey-reference.com/players/s/stuetti02.html	LW	Left	2021-2024
Malcolm Subban	https://www.hockey-reference.com/players/s/subbama01.html	G	Not Found	2015-2024
Oskar Sundqvist	https://www.hockey-reference.com/players/s/sundqos01.html	C	Right	2016-2024
Pius Suter	https://www.hockey-reference.com/players/s/suterpi01.html	F	Left	2021-2024
Ryan Suter	https://www.hockey-reference.com/players/s/suterry01.html	D	Left	2006-2024
Nick Suzuki	https://www.hockey-reference.com/players/s/suzukni01.html	C	Right	2020-2024
Andrei Svechnikov	https://www.hockey-reference.com/players/s/svechan01.html	RW	Left	2019-2024
Jeremy Swayman	https://www.hockey-reference.com/players/s/swaymje01.html	G	Not Found	2021-2024
Maksymilian Szuber	https://www.hockey-reference.com/players/s/szubema01.html	D	Left	2024
Mads SÃ¸gaard	https://www.hockey-reference.com/players/s/sogaama01.html	G	Not Found	2022-2024
Cam Talbot	https://www.hockey-reference.com/players/t/talboca01.html	G	Not Found	2014-2024
