name	link	position	shoots	years_active
Marcus Foligno	https://www.hockey-reference.com/players/f/foligma01.html	LW	Left	2012-2024
Nick Foligno	https://www.hockey-reference.com/players/f/foligni01.html	LW	Left	2008-2024
Callan Foote	https://www.hockey-reference.com/players/f/footeca01.html	D	Right	2021-2024
Nolan Foote	https://www.hockey-reference.com/players/f/footeno01.html	LW	Left	2021-2024
Derek Forbort	https://www.hockey-reference.com/players/f/forbode01.html	D	Left	2016-2024
Anton Forsberg	https://www.hockey-reference.com/players/f/forsban01.html	G	Not Found	2015-2024
Filip Forsberg	https://www.hockey-reference.com/players/f/forsbfi01.html	C	Right	2013-2024
Gustav Forsling	https://www.hockey-reference.com/players/f/forslgu02.html	D	Left	2017-2024
Jean-Luc Foudy	https://www.hockey-reference.com/players/f/foudyje01.html	C	Right	2023-2024
Liam Foudy	https://www.hockey-reference.com/players/f/foudyli01.html	C	Left	2020-2024
Cam Fowler	https://www.hockey-reference.com/players/f/fowleca01.html	D	Left	2011-2024
Adam Fox	https://www.hockey-reference.com/players/f/foxad01.html	D	Right	2020-2024
Trent Frederic	https://www.hockey-reference.com/players/f/fredetr01.html	C	Left	2019-2024
Mark Friedman	https://www.hockey-reference.com/players/f/friedma01.html	D	Right	2019-2024
Byron Froese	https://www.hockey-reference.com/players/f/froesby01.html	C	Right	2016-2024
Morgan Frost	https://www.hockey-reference.com/players/f/frostmo01.html	C	Left	2020-2024
Jonah Gadjovich	https://www.hockey-reference.com/players/g/gadjojo01.html	LW	Left	2021-2024
Sam Gagner	https://www.hockey-reference.com/players/g/gagnesa01.html	C	Right	2008-2024
Brendan Gallagher	https://www.hockey-reference.com/players/g/gallabr01.html	RW	Right	2013-2024
Rhett Gardner	https://www.hockey-reference.com/players/g/gardnrh01.html	C	Left	2020-2024
Conor Garland	https://www.hockey-reference.com/players/g/garlaco01.html	RW	Right	2019-2024
Adam Gaudette	https://www.hockey-reference.com/players/g/gaudead01.html	C	Right	2018-2024
Fr̩d̩rick Gaudreau	https://www.hockey-reference.com/players/g/gaudrfr01.html	C	Right	2017-2024
Johnny Gaudreau	https://www.hockey-reference.com/players/g/gaudrjo01.html	LW	Left	2014-2024
Brendan Gaunce	https://www.hockey-reference.com/players/g/gauncbr01.html	C	Left	2016-2024
Cutter Gauthier	https://www.hockey-reference.com/players/g/gauthcu01.html	LW	Left	2024
Julien Gauthier	https://www.hockey-reference.com/players/g/gauthju01.html	RW	Right	2020-2024
Vladislav Gavrikov	https://www.hockey-reference.com/players/g/gavrivl01.html	D	Left	2020-2024
Glenn Gawdin	https://www.hockey-reference.com/players/g/gawdigl01.html	C	Right	2021-2024
Morgan Geekie	https://www.hockey-reference.com/players/g/geekimo01.html	C	Right	2020-2024
Alexandar Georgiev	https://www.hockey-reference.com/players/g/georgal01.html	G	Not Found	2018-2024
